"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2021 Week 14 ending April 10, 2021","2021/14",13034,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 15 ending April 17, 2021","2021/15",12903,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 16 ending April 24, 2021","2021/16",13101,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 17 ending May 01, 2021","2021/17",13091,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 18 ending May 08, 2021","2021/18",12738,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 19 ending May 15, 2021","2021/19",13039,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 20 ending May 22, 2021","2021/20",13020,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 21 ending May 29, 2021","2021/21",12645,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 22 ending June 05, 2021","2021/22",12872,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 23 ending June 12, 2021","2021/23",12702,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 24 ending June 19, 2021","2021/24",12864,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 25 ending June 26, 2021","2021/25",12920,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 26 ending July 03, 2021","2021/26",12936,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 27 ending July 10, 2021","2021/27",12887,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 28 ending July 17, 2021","2021/28",12935,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 29 ending July 24, 2021","2021/29",12915,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 30 ending July 31, 2021","2021/30",13123,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 31 ending August 07, 2021","2021/31",13379,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 32 ending August 14, 2021","2021/32",13664,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 33 ending August 21, 2021","2021/33",13630,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 34 ending August 28, 2021","2021/34",13559,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 35 ending September 04, 2021","2021/35",13581,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 36 ending September 11, 2021","2021/36",13352,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 37 ending September 18, 2021","2021/37",13731,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 38 ending September 25, 2021","2021/38",13533,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 39 ending October 02, 2021","2021/39",13681,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 40 ending October 09, 2021","2021/40",13454,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 41 ending October 16, 2021","2021/41",13387,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 42 ending October 23, 2021","2021/42",13531,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 43 ending October 30, 2021","2021/43",13465,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 44 ending November 06, 2021","2021/44",13427,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 45 ending November 13, 2021","2021/45",13618,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 46 ending November 20, 2021","2021/46",13440,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 47 ending November 27, 2021","2021/47",13496,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 48 ending December 04, 2021","2021/48",13781,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 49 ending December 11, 2021","2021/49",13911,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 50 ending December 18, 2021","2021/50",13498,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 51 ending December 25, 2021","2021/51",13702,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 52 ending January 01, 2022","2021/52",13679,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 01 ending January 08, 2022","2022/01",14306,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 02 ending January 15, 2022","2022/02",14868,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 03 ending January 22, 2022","2022/03",14683,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 04 ending January 29, 2022","2022/04",14637,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 05 ending February 05, 2022","2022/05",14293,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 06 ending February 12, 2022","2022/06",14277,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2022 Week 07 ending February 19, 2022","2022/07",13816,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 08 ending February 26, 2022","2022/08",13124,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 09 ending March 05, 2022","2022/09",13295,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 10 ending March 12, 2022","2022/10",13244,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 11 ending March 19, 2022","2022/11",13218,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 12 ending March 26, 2022","2022/12",12980,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 13 ending April 02, 2022","2022/13",13066,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 14 ending April 09, 2022","2022/14",12921,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 15 ending April 16, 2022","2022/15",12974,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 16 ending April 23, 2022","2022/16",12722,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 17 ending April 30, 2022","2022/17",12901,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 18 ending May 07, 2022","2022/18",12829,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 19 ending May 14, 2022","2022/19",13164,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 20 ending May 21, 2022","2022/20",13172,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 21 ending May 28, 2022","2022/21",12857,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 22 ending June 04, 2022","2022/22",12915,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 23 ending June 11, 2022","2022/23",13188,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 24 ending June 18, 2022","2022/24",12730,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 25 ending June 25, 2022","2022/25",13056,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 26 ending July 02, 2022","2022/26",13156,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 27 ending July 09, 2022","2022/27",12937,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 28 ending July 16, 2022","2022/28",13058,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 29 ending July 23, 2022","2022/29",13356,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 30 ending July 30, 2022","2022/30",13144,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 31 ending August 06, 2022","2022/31",13217,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 32 ending August 13, 2022","2022/32",13292,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 33 ending August 20, 2022","2022/33",13232,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 34 ending August 27, 2022","2022/34",13111,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 35 ending September 03, 2022","2022/35",13403,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 36 ending September 10, 2022","2022/36",13158,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 37 ending September 17, 2022","2022/37",13328,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 38 ending September 24, 2022","2022/38",13423,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 39 ending October 01, 2022","2022/39",13275,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 40 ending October 08, 2022","2022/40",13488,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 41 ending October 15, 2022","2022/41",13342,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 42 ending October 22, 2022","2022/42",13350,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 43 ending October 29, 2022","2022/43",13210,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 44 ending November 05, 2022","2022/44",13560,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2022 Week 45 ending November 12, 2022","2022/45",13460,Not Applicable,Not Applicable,Not Applicable,0.2%
