"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"2021 Week 05 ending February 06, 2021","2021/05",11595,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 06 ending February 13, 2021","2021/06",11470,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 07 ending February 20, 2021","2021/07",11404,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 08 ending February 27, 2021","2021/08",11599,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 09 ending March 06, 2021","2021/09",11430,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 10 ending March 13, 2021","2021/10",11403,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 11 ending March 20, 2021","2021/11",11288,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 12 ending March 27, 2021","2021/12",11411,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 13 ending April 03, 2021","2021/13",11083,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 14 ending April 10, 2021","2021/14",11561,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 15 ending April 17, 2021","2021/15",11381,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 16 ending April 24, 2021","2021/16",11568,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 17 ending May 01, 2021","2021/17",11599,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 18 ending May 08, 2021","2021/18",11346,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 19 ending May 15, 2021","2021/19",11525,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 20 ending May 22, 2021","2021/20",11578,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 21 ending May 29, 2021","2021/21",11263,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 22 ending June 05, 2021","2021/22",11484,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 23 ending June 12, 2021","2021/23",11343,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 24 ending June 19, 2021","2021/24",11506,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 25 ending June 26, 2021","2021/25",11488,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 26 ending July 03, 2021","2021/26",11566,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 27 ending July 10, 2021","2021/27",11490,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 28 ending July 17, 2021","2021/28",11566,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 29 ending July 24, 2021","2021/29",11526,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 30 ending July 31, 2021","2021/30",11640,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 31 ending August 07, 2021","2021/31",11777,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 32 ending August 14, 2021","2021/32",11980,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 33 ending August 21, 2021","2021/33",11866,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 34 ending August 28, 2021","2021/34",11765,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 35 ending September 04, 2021","2021/35",11714,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 36 ending September 11, 2021","2021/36",11511,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 37 ending September 18, 2021","2021/37",11821,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 38 ending September 25, 2021","2021/38",11727,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 39 ending October 02, 2021","2021/39",11884,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 40 ending October 09, 2021","2021/40",11726,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 41 ending October 16, 2021","2021/41",11686,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 42 ending October 23, 2021","2021/42",11735,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 43 ending October 30, 2021","2021/43",11735,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 44 ending November 06, 2021","2021/44",11699,Not Applicable,Not Applicable,Not Applicable,0.2%
,"2021 Week 45 ending November 13, 2021","2021/45",11904,Not Applicable,Not Applicable,Not Applicable,0.2%
